nome,eleito
JONY MARCOS DE SOUZA ARAÚJO,1
ANTONIO CARLOS VALADARES FILHO,1
ANDRE LUIS DANTAS FERREIRA,1
FÁBIO CRUZ MITIDIERI,1
JOÃO SOMARIVA DANIEL,1
ADELSON BARRETO DOS SANTOS,1
LAÉRCIO JOSÉ DE OLIVEIRA,1
ADRIANO ELI CORREA,1
ALEXANDRE LEITE DA SILVA,1
JORGE TADEU MUDALEN,1
RODRIGO GARCIA,1
ORLANDO SILVA DE JESUS JUNIOR,1
SERGIO OLIMPIO GOMES,1
EDSON EDINHO COELHO ARAUJO,1
LUIZ FELIPE BALEIA TENUTO ROSSI,1
GUILHERME MUSSI FERREIRA,1
JOSE OLÍMPIO SILVEIRA MORAES,1
PAULO SALIM MALUF,1
ALEX SPINELLI MANENTE,1
ARNALDO CALIL PEREIRA JARDIM,1
FRANCISCO EVERARDO OLIVEIRA SILVA,1
JOSE AUGUSTO ROSA,1
MARCIO LUIZ ALVINO DE SOUZA,1
MIGUEL LOMBARDI,1
MILTON ANTONIO CASQUEL MONTI,1
PAULO ROBERTO FREIRE DA COSTA,1
ANTONIO CARLOS MARTINS DE BULHÕES,1
BENEDITO ROBERTO ALVES FERREIRA,1
CELSO UBIRAJARA RUSSOMANNO,1
FAUSTO RUY PINATO,1
MARCELO SQUASSONI,1
PAULO ROBERTO GOMES MANSUR,1
SERGIO BAVINI,1
VINICIUS RAPOZO DE CARVALHO,1
IOLANDA KEIKO MIASHIRO OTA,1
LUIZA ERUNDINA DE SOUSA,1
FLAVIO AUGUSTO DA SILVA,1
LUIZ LAURO FERREIRA FILHO,1
EDUARDO NANTES BOLSONARO,1
GILBERTO NASCIMENTO SILVA,1
MARCO ANTONIO FELICIANO,1
ANTONIO GOULART DOS REIS,1
HERCULANO CASTILHO PASSOS JUNIOR,1
JEFFERSON ALVES DE CAMPOS,1
RICARDO IZAR JUNIOR,1
BRUNA DIAS FURLAN,1
MARA CRISTINA GABRILLI,1
ANTONIO DUARTE NOGUEIRA JUNIOR,1
ANTONIO FLORIANO PEREIRA PESARO,1
BRUNO COVAS LOPES,1
CARLOS HENRIQUE FOCESI SAMPAIO,1
EDUARDO PEDROSA CURY,1
JOAO PAULO TAVARES PAPA,1
JOSÉ RICARDO ALVARENGA TRIPOLI,1
MIGUEL MOUBADDA HADDAD,1
SAMUEL MOREIRA DA SILVA JUNIOR,1
SILVIO FRANÇA TORRES,1
VANDERLEI MACRIS,1
VITOR LIPPI,1
IVAN VALENTE,1
ANA LUCIA LIPPAUS PERUGINI,1
ANDRES NAVARRO SANCHEZ,1
ARLINDO CHIGNALIA JUNIOR,1
CARLOS ALBERTO ROLIM ZARATTINI,1
JOSE MENTOR GUILHERME DE MELLO NETTO,1
LUIZ PAULO TEIXEIRA FERREIRA,1
NILTO IGNÁCIO TATTO,1
VALMIR PRASCIDELLI,1
VICENTE CANDIDO DA SILVA,1
VICENTE PAULO DA SILVA,1
ARNALDO FARIA DE SÁ,1
NELSON MARQUEZELLI,1
RENATA HELLMEISTER DE ABREU,1
EVANDRO HERRERA BERTONE GUSSI,1
ROBERTO ALVES DE LUCENA,1
SINVAL MALHEIROS PINTO JUNIOR,1
PAULO PEREIRA DA SILVA,1
MARIA AUXILIADORA SEABRA REZENDE,1
DULCE FERREIRA PAGANI MIRANDA,1
JOSINIANE BRAGA NUNES,1
CARLOS HENRIQUE AMORIM,1
LÁZARO BOTELHO MARTINS,1
CESAR HANNA HALUM,1
VICENTE ALVES DE OLIVEIRA JUNIOR,1
IRAJÁ SILVESTRE FILHO,1
